,Movie_title,Audience_review,Critic_review,Runtime,Distributor,Covered,Actors,Producer,Cinematography,Editing,Music
0,Love Ranch,28,13,117.0,0,0.0,0,0,0,1,0
1,Alita: Battle Angel,93,61,122.0,1,1.0,0,0,1,0,0
2,UglyDolls,58,27,87.0,0,1.0,0,0,0,0,1
5,Iron Sky: The Coming Race,27,33,92.0,0,0.0,0,0,0,0,0
8,Charlie Says,84,58,140.0,0,0.0,0,0,0,0,0
10,The Souvenir,33,90,119.0,0,1.0,0,0,0,0,0
12,Sword of Trust,72,93,88.0,1,1.0,0,0,0,0,0
25,Little Woods,50,96,105.0,0,1.0,0,0,0,0,0
26,Ash Is Purest White,69,99,136.0,0,1.0,0,0,0,0,0
27,The Hummingbird Project,55,58,111.0,0,1.0,1,0,0,0,0
28,An Acceptable Loss,90,13,101.41580619539317,1,1.0,0,0,0,0,0
30,Mia and the White Lion,54,88,98.0,0,1.0,0,1,0,0,0
32,Escape Plan: The Extractors,39,33,87.0,0,1.0,1,0,0,0,0
36,Wonder Park,44,34,85.0,1,1.0,0,0,0,0,0
37,Burn Your Maps,88,62,102.0,0,0.0,0,0,1,1,0
41,Dumbo,51,47,64.0,0,1.0,0,0,0,0,0
42,Slaughterhouse Rulez,64,41,103.0,0,0.0,0,0,0,0,0
43,"Hale County This Morning, This Evening",37,97,76.0,0,1.0,0,0,0,0,0
45,Giant Little Ones,80,92,93.0,0,1.0,0,0,0,0,1
46,Hotel Mumbai,85,77,125.0,0,0.0,0,0,0,0,0
47,Run the Race,85,40,101.0,0,0.0,0,0,0,0,0
48,No Manches Frida 2,27,13,102.0,0,1.0,0,0,0,0,0
52,Captive State,39,44,109.0,0,1.0,0,0,0,0,1
53,Tyler Perry's A Madea Family Funeral,29,12,109.0,0,1.0,0,0,0,0,0
54,Five Feet Apart,79,55,116.0,0,1.0,0,0,1,0,1
59,Framing John DeLorean,78,91,109.0,1,1.0,0,0,0,0,0
64,How to Train Your Dragon: The Hidden World,87,91,104.0,1,0.0,0,0,0,0,1
65,The LEGO Movie 2: The Second Part,69,85,107.0,1,0.0,0,0,0,1,1
67,The Upside,82,40,126.0,0,1.0,0,0,1,0,1
69,Fighting with My Family,83,92,108.0,0,0.0,0,0,1,1,0
70,What Men Want,33,44,117.0,1,1.0,0,0,1,1,1
77,Cold Pursuit,52,70,118.0,0,1.0,1,0,0,0,1
78,Gloria Bell,44,91,102.0,0,1.0,1,0,0,0,0
82,Happy Death Day 2U,60,69,100.0,1,1.0,0,1,1,0,1
87,Good Sam,81,60,128.0,0,1.0,0,0,0,0,0
89,The Man Who Killed Don Quixote,68,62,132.0,0,0.0,0,0,0,0,0
91,The Kid Who Would Be King,60,89,120.0,1,0.0,1,0,1,1,0
92,The Great Buddha+,81,88,104.0,0,1.0,0,0,0,0,0
95,Dragged Across Concrete,69,75,159.0,0,0.0,0,0,0,1,0
97,"Extremely Wicked, Shockingly Evil and Vile",59,55,108.0,1,1.0,1,0,1,0,1
105,Holmes and Watson,27,11,90.0,0,1.0,1,0,1,1,1
107,On the Basis of Sex,74,74,120.0,0,1.0,0,0,0,0,1
109,A Dog's Way Home,72,62,96.0,0,0.0,0,0,0,1,1
111,Welcome to Marwen,51,33,116.0,1,1.0,1,0,0,0,1
114,Dragon Ball Super: Broly,93,83,100.0,0,0.0,0,0,0,0,0
115,The Head Hunter,54,100,98.0,0,1.0,0,0,0,0,0
118,Fantastic Beasts: The Crimes of Grindelwald,56,37,134.0,1,1.0,0,0,1,0,1
125,MFKZ,79,41,93.0,0,1.0,0,0,0,0,0
126,Pokémon the Movie: The Power of Us,70,67,100.0,0,1.0,0,0,0,0,0
128,Out of Blue,36,36,109.0,0,1.0,0,0,0,0,0
133,The Mercy,29,74,101.0,0,1.0,1,0,0,0,0
135,Spider-Man: Into the Spider-Verse,93,97,117.0,0,1.0,0,0,0,0,1
138,Vox Lux,40,61,110.0,0,0.0,0,0,0,0,0
148,Ralph Breaks the Internet,65,88,112.0,1,1.0,0,0,0,0,1
151,The Possession of Hannah Grace,27,19,86.0,0,0.0,0,0,0,0,1
153,Anna and the Apocalypse,66,78,108.0,0,1.0,0,0,0,0,0
154,Among Wolves,90,100,105.0,0,1.0,0,0,0,0,0
155,Instant Family,82,81,118.0,1,1.0,0,0,0,0,1
156,Creed II,81,84,130.0,0,1.0,1,0,1,1,0
158,The Breaker Upperers,52,90,80.0,0,1.0,0,0,0,0,0
160,Under the Eiffel Tower,74,47,101.41580619539317,0,1.0,0,0,0,0,0
162,The Favourite,67,93,120.0,0,1.0,0,0,0,0,0
164,Free Solo,93,97,100.0,0,1.0,0,0,0,0,1
169,A Private War,65,88,110.0,0,1.0,0,0,0,0,0
